09.01.2020;Donnerstag;eichrodtweg;;09.01.2020;09;01;"echo eichrodtweg; >>01-09.txt";;
09.01.2020;Donnerstag;nonnenbuehl;;09.01.2020;09;01;"echo nonnenbuehl; >>01-09.txt";;
09.01.2020;Donnerstag;turmbergstrasse 1-3z;;09.01.2020;09;01;"echo turmbergstrasse 1-3z; >>01-09.txt";;
09.01.2020;Donnerstag;turmbergstrasse 5-ende;;09.01.2020;09;01;"echo turmbergstrasse 5-ende; >>01-09.txt";;
09.01.2020;Donnerstag;turmbergstrasse 0-0z;;09.01.2020;09;01;"echo turmbergstrasse 0-0z; >>01-09.txt";;
09.01.2020;Donnerstag;auf dem guggelensberg 1-33z;;09.01.2020;09;01;"echo auf dem guggelensberg 1-33z; >>01-09.txt";;
09.01.2020;Donnerstag;auf dem guggelensberg 35-ende;;09.01.2020;09;01;"echo auf dem guggelensberg 35-ende; >>01-09.txt";;
09.01.2020;Donnerstag;auf dem guggelensberg 0-ende;;09.01.2020;09;01;"echo auf dem guggelensberg 0-ende; >>01-09.txt";;
09.01.2020;Donnerstag;turmbergstrasse 2-16;;09.01.2020;09;01;"echo turmbergstrasse 2-16; >>01-09.txt";;
09.01.2020;Donnerstag;turmbergstrasse 16a-16z;;09.01.2020;09;01;"echo turmbergstrasse 16a-16z; >>01-09.txt";;
09.01.2020;Donnerstag;im zeitvogel 1-15;;09.01.2020;09;01;"echo im zeitvogel 1-15; >>01-09.txt";;
09.01.2020;Donnerstag;turmbergstrasse 18-28;;09.01.2020;09;01;"echo turmbergstrasse 18-28; >>01-09.txt";;
09.01.2020;Donnerstag;im zeitvogel 15a-ende;;09.01.2020;09;01;"echo im zeitvogel 15a-ende; >>01-09.txt";;
09.01.2020;Donnerstag;turmbergstrasse 28a-ende;;09.01.2020;09;01;"echo turmbergstrasse 28a-ende; >>01-09.txt";;
09.01.2020;Donnerstag;im zeitvogel 0-0z;;09.01.2020;09;01;"echo im zeitvogel 0-0z; >>01-09.txt";;
09.01.2020;Donnerstag;im zeitvogel 2-14;;09.01.2020;09;01;"echo im zeitvogel 2-14; >>01-09.txt";;
09.01.2020;Donnerstag;im zeitvogel 14a-ende;;09.01.2020;09;01;"echo im zeitvogel 14a-ende; >>01-09.txt";;
09.01.2020;Donnerstag;posseltstrasse 1-7z;;09.01.2020;09;01;"echo posseltstrasse 1-7z; >>01-09.txt";;
09.01.2020;Donnerstag;in der tasch 1-ende;;09.01.2020;09;01;"echo in der tasch 1-ende; >>01-09.txt";;
09.01.2020;Donnerstag;posseltstrasse 9-9z;;09.01.2020;09;01;"echo posseltstrasse 9-9z; >>01-09.txt";;
09.01.2020;Donnerstag;in der tasch 0-2;;09.01.2020;09;01;"echo in der tasch 0-2; >>01-09.txt";;
09.01.2020;Donnerstag;in der tasch 2a-2f;;09.01.2020;09;01;"echo in der tasch 2a-2f; >>01-09.txt";;
09.01.2020;Donnerstag;posseltstrasse 11-ende;;09.01.2020;09;01;"echo posseltstrasse 11-ende; >>01-09.txt";;
09.01.2020;Donnerstag;in der tasch 2g-ende;;09.01.2020;09;01;"echo in der tasch 2g-ende; >>01-09.txt";;
09.01.2020;Donnerstag;posseltstrasse 0-ende;;09.01.2020;09;01;"echo posseltstrasse 0-ende; >>01-09.txt";;
09.01.2020;Donnerstag;bergbahnstrasse 1-ende;;09.01.2020;09;01;"echo bergbahnstrasse 1-ende; >>01-09.txt";;
09.01.2020;Donnerstag;bergbahnstrasse 0-14z;;09.01.2020;09;01;"echo bergbahnstrasse 0-14z; >>01-09.txt";;
09.01.2020;Donnerstag;bergbahnstrasse 16-ende;;09.01.2020;09;01;"echo bergbahnstrasse 16-ende; >>01-09.txt";;
09.01.2020;Donnerstag;duerrbachstrasse 1-15z;;09.01.2020;09;01;"echo duerrbachstrasse 1-15z; >>01-09.txt";;
09.01.2020;Donnerstag;duerrbachstrasse 17-ende;;09.01.2020;09;01;"echo duerrbachstrasse 17-ende; >>01-09.txt";;
09.01.2020;Donnerstag;duerrbachstrasse 0-30z;;09.01.2020;09;01;"echo duerrbachstrasse 0-30z; >>01-09.txt";;
09.01.2020;Donnerstag;duerrbachstrasse 32-ende;;09.01.2020;09;01;"echo duerrbachstrasse 32-ende; >>01-09.txt";;
09.01.2020;Donnerstag;sepp-herberger-weg;;09.01.2020;09;01;"echo sepp-herberger-weg; >>01-09.txt";;
09.01.2020;Donnerstag;groetzinger strasse 1-15z;;09.01.2020;09;01;"echo groetzinger strasse 1-15z; >>01-09.txt";;
09.01.2020;Donnerstag;groetzinger strasse 17-55z;;09.01.2020;09;01;"echo groetzinger strasse 17-55z; >>01-09.txt";;
09.01.2020;Donnerstag;groetzinger strasse 57-81z;;09.01.2020;09;01;"echo groetzinger strasse 57-81z; >>01-09.txt";;
09.01.2020;Donnerstag;groetzinger strasse 83;;09.01.2020;09;01;"echo groetzinger strasse 83; >>01-09.txt";;
09.01.2020;Donnerstag;groetzinger strasse 83a-ende;;09.01.2020;09;01;"echo groetzinger strasse 83a-ende; >>01-09.txt";;
09.01.2020;Donnerstag;rittnertstrasse 1-99z;;09.01.2020;09;01;"echo rittnertstrasse 1-99z; >>01-09.txt";;
09.01.2020;Donnerstag;groetzinger strasse 0-12z;;09.01.2020;09;01;"echo groetzinger strasse 0-12z; >>01-09.txt";;
09.01.2020;Donnerstag;rittnertstrasse 101-249z;;09.01.2020;09;01;"echo rittnertstrasse 101-249z; >>01-09.txt";;
09.01.2020;Donnerstag;groetzinger strasse 14-42z;;09.01.2020;09;01;"echo groetzinger strasse 14-42z; >>01-09.txt";;
09.01.2020;Donnerstag;groetzinger strasse 44-ende;;09.01.2020;09;01;"echo groetzinger strasse 44-ende; >>01-09.txt";;
09.01.2020;Donnerstag;rittnertstrasse 0-4z;;09.01.2020;09;01;"echo rittnertstrasse 0-4z; >>01-09.txt";;
09.01.2020;Donnerstag;rittnertstrasse 6-70z;;09.01.2020;09;01;"echo rittnertstrasse 6-70z; >>01-09.txt";;
09.01.2020;Donnerstag;rittnertstrasse 72-200z;;09.01.2020;09;01;"echo rittnertstrasse 72-200z; >>01-09.txt";;
09.01.2020;Donnerstag;gymnasiumstrasse 1-ende;;09.01.2020;09;01;"echo gymnasiumstrasse 1-ende; >>01-09.txt";;
09.01.2020;Donnerstag;wolfweg;;09.01.2020;09;01;"echo wolfweg; >>01-09.txt";;
09.01.2020;Donnerstag;gymnasiumstrasse 0-0z;;09.01.2020;09;01;"echo gymnasiumstrasse 0-0z; >>01-09.txt";;
09.01.2020;Donnerstag;gymnasiumstrasse 2-2z;;09.01.2020;09;01;"echo gymnasiumstrasse 2-2z; >>01-09.txt";;
09.01.2020;Donnerstag;gymnasiumstrasse 4;;09.01.2020;09;01;"echo gymnasiumstrasse 4; >>01-09.txt";;
09.01.2020;Donnerstag;gymnasiumstrasse 4a-24z;;09.01.2020;09;01;"echo gymnasiumstrasse 4a-24z; >>01-09.txt";;
09.01.2020;Donnerstag;gymnasiumstrasse 26-ende;;09.01.2020;09;01;"echo gymnasiumstrasse 26-ende; >>01-09.txt";;
09.01.2020;Donnerstag;kastellstrasse;;09.01.2020;09;01;"echo kastellstrasse; >>01-09.txt";;
09.01.2020;Donnerstag;steinlesweg;;09.01.2020;09;01;"echo steinlesweg; >>01-09.txt";;
09.01.2020;Donnerstag;hotzerweg;;09.01.2020;09;01;"echo hotzerweg; >>01-09.txt";;
13.01.2020;Montag;unterer lussweg;;13.01.2020;13;01;"echo unterer lussweg; >>01-13.txt";;
13.01.2020;Montag;paul-klee-strasse;;13.01.2020;13;01;"echo paul-klee-strasse; >>01-13.txt";;
13.01.2020;Montag;hahnemannstrasse;;13.01.2020;13;01;"echo hahnemannstrasse; >>01-13.txt";;
13.01.2020;Montag;paula-modersohn-strasse;;13.01.2020;13;01;"echo paula-modersohn-strasse; >>01-13.txt";;
13.01.2020;Montag;carl-hofer-strasse;;13.01.2020;13;01;"echo carl-hofer-strasse; >>01-13.txt";;
13.01.2020;Montag;im kennental;;13.01.2020;13;01;"echo im kennental; >>01-13.txt";;
13.01.2020;Montag;jung-stilling-strasse;;13.01.2020;13;01;"echo jung-stilling-strasse; >>01-13.txt";;
13.01.2020;Montag;geigersbergstrasse;;13.01.2020;13;01;"echo geigersbergstrasse; >>01-13.txt";;
13.01.2020;Montag;im obern dechantsberg gewann;;13.01.2020;13;01;"echo im obern dechantsberg gewann; >>01-13.txt";;
13.01.2020;Montag;im rennich;;13.01.2020;13;01;"echo im rennich; >>01-13.txt";;
13.01.2020;Montag;im rosengaertle 1-19;;13.01.2020;13;01;"echo im rosengaertle 1-19; >>01-13.txt";;
13.01.2020;Montag;im rosengaertle 19a-ende;;13.01.2020;13;01;"echo im rosengaertle 19a-ende; >>01-13.txt";;
13.01.2020;Montag;im rosengaertle 0-0z;;13.01.2020;13;01;"echo im rosengaertle 0-0z; >>01-13.txt";;
13.01.2020;Montag;im rosengaertle 2-24;;13.01.2020;13;01;"echo im rosengaertle 2-24; >>01-13.txt";;
13.01.2020;Montag;im rosengaertle 24a-ende;;13.01.2020;13;01;"echo im rosengaertle 24a-ende; >>01-13.txt";;
13.01.2020;Montag;am dechantsberg;;13.01.2020;13;01;"echo am dechantsberg; >>01-13.txt";;
13.01.2020;Montag;am lerchenberg 1-ende;;13.01.2020;13;01;"echo am lerchenberg 1-ende; >>01-13.txt";;
13.01.2020;Montag;am lerchenberg 0-18z;;13.01.2020;13;01;"echo am lerchenberg 0-18z; >>01-13.txt";;
13.01.2020;Montag;am lerchenberg 20-20z;;13.01.2020;13;01;"echo am lerchenberg 20-20z; >>01-13.txt";;
13.01.2020;Montag;am lerchenberg 22-ende;;13.01.2020;13;01;"echo am lerchenberg 22-ende; >>01-13.txt";;
13.01.2020;Montag;pfistergrund 1-7z;;13.01.2020;13;01;"echo pfistergrund 1-7z; >>01-13.txt";;
13.01.2020;Montag;pfistergrund 9-ende;;13.01.2020;13;01;"echo pfistergrund 9-ende; >>01-13.txt";;
13.01.2020;Montag;schloessleweg;;13.01.2020;13;01;"echo schloessleweg; >>01-13.txt";;
13.01.2020;Montag;pfistergrund 0-ende;;13.01.2020;13;01;"echo pfistergrund 0-ende; >>01-13.txt";;
13.01.2020;Montag;auf dem schloessle;;13.01.2020;13;01;"echo auf dem schloessle; >>01-13.txt";;
13.01.2020;Montag;franz-marc-strasse;;13.01.2020;13;01;"echo franz-marc-strasse; >>01-13.txt";;
13.01.2020;Montag;august-macke-strasse;;13.01.2020;13;01;"echo august-macke-strasse; >>01-13.txt";;
13.01.2020;Montag;max-beckmann-strasse 1-23z;;13.01.2020;13;01;"echo max-beckmann-strasse 1-23z; >>01-13.txt";;
13.01.2020;Montag;max-beckmann-strasse 25;;13.01.2020;13;01;"echo max-beckmann-strasse 25; >>01-13.txt";;
13.01.2020;Montag;max-beckmann-strasse 25a-27z;;13.01.2020;13;01;"echo max-beckmann-strasse 25a-27z; >>01-13.txt";;
13.01.2020;Montag;elly-heuss-weg;;13.01.2020;13;01;"echo elly-heuss-weg; >>01-13.txt";;
13.01.2020;Montag;max-beckmann-strasse 29;;13.01.2020;13;01;"echo max-beckmann-strasse 29; >>01-13.txt";;
13.01.2020;Montag;max-beckmann-strasse 29a-ende;;13.01.2020;13;01;"echo max-beckmann-strasse 29a-ende; >>01-13.txt";;
13.01.2020;Montag;max-beckmann-strasse 0-ende;;13.01.2020;13;01;"echo max-beckmann-strasse 0-ende; >>01-13.txt";;
13.01.2020;Montag;emil-nolde-strasse;;13.01.2020;13;01;"echo emil-nolde-strasse; >>01-13.txt";;
13.01.2020;Montag;max-liebermann-strasse;;13.01.2020;13;01;"echo max-liebermann-strasse; >>01-13.txt";;
13.01.2020;Montag;bergwaldstrasse 1-5z;;13.01.2020;13;01;"echo bergwaldstrasse 1-5z; >>01-13.txt";;
13.01.2020;Montag;bergwaldstrasse 7-ende;;13.01.2020;13;01;"echo bergwaldstrasse 7-ende; >>01-13.txt";;
13.01.2020;Montag;bergwaldstrasse 0-10z;;13.01.2020;13;01;"echo bergwaldstrasse 0-10z; >>01-13.txt";;
13.01.2020;Montag;bergwaldstrasse 12-30;;13.01.2020;13;01;"echo bergwaldstrasse 12-30; >>01-13.txt";;
13.01.2020;Montag;bergwaldstrasse 30a-ende;;13.01.2020;13;01;"echo bergwaldstrasse 30a-ende; >>01-13.txt";;
13.01.2020;Montag;erich-heckel-strasse;;13.01.2020;13;01;"echo erich-heckel-strasse; >>01-13.txt";;
13.01.2020;Montag;louise-schroeder-weg;;13.01.2020;13;01;"echo louise-schroeder-weg; >>01-13.txt";;
13.01.2020;Montag;ernst-barlach-strasse 1-29z;;13.01.2020;13;01;"echo ernst-barlach-strasse 1-29z; >>01-13.txt";;
13.01.2020;Montag;ernst-barlach-strasse 31-ende;;13.01.2020;13;01;"echo ernst-barlach-strasse 31-ende; >>01-13.txt";;
13.01.2020;Montag;ernst-barlach-strasse 0-40z;;13.01.2020;13;01;"echo ernst-barlach-strasse 0-40z; >>01-13.txt";;
13.01.2020;Montag;ernst-barlach-strasse 42-ende;;13.01.2020;13;01;"echo ernst-barlach-strasse 42-ende; >>01-13.txt";;
13.01.2020;Montag;lusssteige;;13.01.2020;13;01;"echo lusssteige; >>01-13.txt";;
13.01.2020;Montag;lussstrasse;;13.01.2020;13;01;"echo lussstrasse; >>01-13.txt";;
13.01.2020;Montag;lyonel-feininger-weg;;13.01.2020;13;01;"echo lyonel-feininger-weg; >>01-13.txt";;
13.01.2020;Montag;kaethe-kollwitz-strasse 1-1z;;13.01.2020;13;01;"echo kaethe-kollwitz-strasse 1-1z; >>01-13.txt";;
13.01.2020;Montag;kaethe-kollwitz-strasse 3-ende;;13.01.2020;13;01;"echo kaethe-kollwitz-strasse 3-ende; >>01-13.txt";;
13.01.2020;Montag;kaethe-kollwitz-strasse 0-ende;;13.01.2020;13;01;"echo kaethe-kollwitz-strasse 0-ende; >>01-13.txt";;
13.01.2020;Montag;straehlerweg 1-103z;;13.01.2020;13;01;"echo straehlerweg 1-103z; >>01-13.txt";;
13.01.2020;Montag;straehlerweg 105-ende;;13.01.2020;13;01;"echo straehlerweg 105-ende; >>01-13.txt";;
13.01.2020;Montag;straehlerweg 0-30z;;13.01.2020;13;01;"echo straehlerweg 0-30z; >>01-13.txt";;
13.01.2020;Montag;straehlerweg 32-ende;;13.01.2020;13;01;"echo straehlerweg 32-ende; >>01-13.txt";;
15.01.2020;Mittwoch;tiefentalstrasse 102-ende;;15.01.2020;15;01;"echo tiefentalstrasse 102-ende; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 1-1z;;15.01.2020;15;01;"echo badener strasse 1-1z; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 3-7z;;15.01.2020;15;01;"echo badener strasse 3-7z; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 9-9z;;15.01.2020;15;01;"echo badener strasse 9-9z; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 11-11z;;15.01.2020;15;01;"echo badener strasse 11-11z; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 13-49;;15.01.2020;15;01;"echo badener strasse 13-49; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 49a;;15.01.2020;15;01;"echo badener strasse 49a; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 49b-59z;;15.01.2020;15;01;"echo badener strasse 49b-59z; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 61-ende;;15.01.2020;15;01;"echo badener strasse 61-ende; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 0-12z;;15.01.2020;15;01;"echo badener strasse 0-12z; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 14;;15.01.2020;15;01;"echo badener strasse 14; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 14a-54z;;15.01.2020;15;01;"echo badener strasse 14a-54z; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 56-112z;;15.01.2020;15;01;"echo badener strasse 56-112z; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 114-116z;;15.01.2020;15;01;"echo badener strasse 114-116z; >>01-15.txt";;
15.01.2020;Mittwoch;badener strasse 118-ende;;15.01.2020;15;01;"echo badener strasse 118-ende; >>01-15.txt";;
15.01.2020;Mittwoch;albert-einstein-strasse;;15.01.2020;15;01;"echo albert-einstein-strasse; >>01-15.txt";;
